,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856578,0.6908868661884263,1e-05,0.23025968101957311,0.374397459537979,0.21944887125985207,1e-05,1e-05,0.5568570620198654,0.7283446494006047,1.5579494917649375,0.6907767626073252,0.7021604789720666,1.2393523319665654,0.9978921882909405,1.0023487875929709,1e-05,1e-05,0.5300584302978089,0.9419504954217474,0.4928999043209219,0.09989428684328205,0.772716126715521,0.341176259120825,0.36676117378900813,0.122771812532458,0.9334810532459682,1.2290730321268033,3.6189038757634395,2.886762425233281,2.089580097053649,1.9252642802892541,2.0033603001749314,2.0989619571045828,1.1904556773321577,1.1807055832729159,1e-05,0.22240341241660666,0.9644907267813473,0.01009441464383043,1e-05,1.3379589075345941
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568214997,0.617929881548042,0.136742924181757,0.277177600435379,0.3510339524785064,0.20687763562825284,1e-05,0.6923257311517903,0.5687784567770648,1e-05,0.8323428233438839,0.8197006068098528,0.7516428752285396,0.3256003711898513,0.9905538350351376,0.6227955881691982,1.5053732310872339,1.1219764287707064,1.4270515786204268,1.9502246660154265,0.8692173462658963,1.7049200335964592,0.6107414970426419,1.6214593239638933,0.6658847946393376,1e-05,0.7069647968647925,1.1090948929597095,1.887829797421453,2.1665565935905704,2.3901696132285495,2.7881660984666135,1.149951071904646,1.4877487877872255,1e-05,1e-05,1.1376300896633167,0.2441469343696106,1e-05,0.9777516440589583,1e-05,0.014310931720779796
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894087,0.6709156469709345,1e-05,1e-05,0.2620392372052401,0.17662136199636536,1e-05,1e-05,0.7617407662734983,0.9829528323548615,1.9232278067953907,0.7454426766944343,0.9669255365631114,1.3787472724591427,1.6234905864273073,1.1105054990942174,1e-05,0.028012505628027762,1.1650276586885153,1.0296748963573343,0.8018275852053325,1.0911820754038883,0.8786748787576308,0.5499693975393636,1e-05,0.4047043442089333,0.9870812260310462,2.475312824294142,3.6241316307355635,0.9684454376832294,1.6519137337435645,1.9655113793627865,1.0449434068825871,2.6907382932472705,1e-05,1.194739212103613,1.1129820740865046,0.9095480798475365,0.4520694995862758,1e-05,0.3676283574553584,1e-05
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313988,0.6244811872576155,1e-05,0.49422418036282073,0.3908824693660946,0.21711850575105895,1e-05,0.9038223173186566,0.5160801826751936,1e-05,0.6344955395413425,0.7135699429292456,0.6463660143095389,0.6217807428065781,0.9506517687760585,0.769914022614317,1.2716355339954395,0.6523904688114057,1.1178999298445274,1.8763168529468506,0.7394273508364954,1.341708513720468,0.8405094225355823,1.5357307510807794,0.9049232973454348,1e-05,0.4307731405357579,0.3466213265567312,2.045281930702759,3.368274678489411,2.3852572227340105,2.519679917839847,1.79203170349125,0.9351212016829052,0.0970982480760898,0.06631291717169441,1e-05,1e-05,1e-05,1.042966080578493,1e-05,1.4633400672356622
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183233,0.6480550538854134,1e-05,1e-05,0.2551388593839593,0.18071342282947483,1e-05,0.628784988630127,0.8235694715523006,1e-05,0.8873716172506088,0.7050630397092934,0.8280577591566425,0.47221374659806087,0.9719682636153923,0.50580085321699,1.8098440501592878,1.3052244458920372,1.7427070759766714,2.0868544978802315,1.0420894393109996,1.7469901366334217,0.42847315672284225,1.0098897099887687,0.44710479628171945,0.28157451057048516,0.10307821586505639,0.812847648063861,1.5814978925156629,1.58192283810071,2.86677199417159,3.1263619871431123,1.1553923440250315,1.6876565715802991,1e-05,0.018169030127285546,1.443063777986114,0.4306213319950906,1e-05,1.018429927499564,1e-05,1e-05
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.6294356400072223,0.6260995421718538,1e-05,0.4102076342857876,0.3687959256854828,0.15410154347934418,1e-05,1e-05,0.2763853678044971,0.11321469568096332,1.3509960497039821,0.7613868066059977,0.5590377102265411,1.2464326035009585,1.1740595567249361,1.200364120343646,1e-05,1e-05,0.31704492655781086,0.9527311957821621,0.3863614117577304,0.3767922093335807,1.0137309387321523,1.1918393012853963,0.568960910030121,1e-05,1.262211435257578,1.47113992119971,3.862284479198677,3.747073033641688,1.7274373431988077,1.7595199654676583,2.049417454308252,1.5742809706685263,1.1170089913411119,0.8247330656751206,1e-05,1e-05,0.8571726214887165,0.037920278539169794,0.042939403689599864,1.4493885288454564
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665156,0.691318637806588,1e-05,0.43383112037845245,0.5567879453403479,0.45645549683480435,1e-05,0.12151325970530086,0.4845105377085565,0.465304101000161,1.5532189835858263,0.5254744548696576,1.0574850501348696,1.0431514529972055,1.8782164661842629,1.6314254244334532,1.2629679449158036,0.8982668798861795,1.139631443500365,1.7247445602441989,0.5397507270793904,0.8811260870327678,0.5318947864943042,0.19221021310035724,0.10381822424464737,1e-05,1e-05,0.05542254125893703,2.813883754982742,0.5583473890955779,2.3527994697343333,2.5920146437733633,1.9112491269408551,2.338624004984461,1e-05,1.2510476943167919,0.6259930532677143,0.5687539101951171,0.21974307077946054,1.2514167273851406,1e-05,0.7912491000157298
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220033,0.6051398895127583,0.22408250199839552,0.07216140802818544,0.1431341856256073,1e-05,1e-05,0.4558433571832635,0.6226462475821719,1e-05,0.8484283791917535,0.8205470402017351,0.23913664848211302,0.13861323086290445,0.07781515432574593,0.10353349014904623,1e-05,1e-05,0.9654919689068603,1.4077822979914205,1.1244957932431587,1.2115598934017227,0.7631319124790568,1.8938829301950855,0.999351053107717,0.06832897640915897,1.0565030549744,2.259830342064954,2.560314292119023,4.338752791111419,2.0850192734140913,2.104537808271456,1.4486782156115374,1.781325247700071,0.6558570343973107,1e-05,0.8810399498161002,1e-05,1e-05,1e-05,1e-05,0.9610560385744444
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.62529126217821,0.6653357727934225,0.49650995673766396,0.6929577425808557,0.368894213291935,0.13090556833948352,1e-05,0.3211268880648042,0.6337133623058663,1e-05,0.8660982384126807,0.20582628070727232,0.25728527892037606,1.2250247827522935,1.2947644517189638,1.2809521707469882,0.24362757348250424,1e-05,0.6387455479801024,1.6198560336013375,0.8767882757026878,1.2781985687162143,0.46236623782009073,1.3950381378706946,0.8388705743305375,1e-05,0.9017799156992609,1.1956874238746118,3.434067355071915,2.948030829509839,2.0287910185496547,1.9299956556503122,1.6329742153509295,0.8054561739413375,0.6532718463805266,1.0906578090105175,0.27389294560502775,1e-05,0.9242264947797295,0.9363162973688319,1e-05,0.8944908911378582
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042703,0.6664081127080704,1e-05,1e-05,0.32330829189593824,0.30196529713419334,1e-05,0.23639269965189652,0.5825942783354341,0.9452926503940403,1.1855469323116188,1.2905834564795935,1.2828318786413333,0.6789253771610944,0.8869861239242494,0.23282032265663422,1.3674397582383262,1.2129242081567146,1.6367426497146058,1.3061311035265517,0.6551023322030917,1.5467849998528667,1.457538801122206,0.8377411706162037,0.3120088144413372,0.5833796870081237,0.8738576606220282,1.1897982799689362,1.6405126471945193,1.9735648341740673,1.7476865637101215,2.5881785045029106,1.2995438429076276,2.0790545663283373,1e-05,0.255998010293489,0.6945837374977945,0.7697464319915742,1e-05,0.22282646061207817,0.4684540002530772,0.7070332540152915
