,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
106,2,1,13,2,7,0.1999999999999999,ind,123.53798361053305
107,2,1,8,2,10,0.0,ind,-139.87913770490786
108,3,1,10,3,6,1.0,ind,-16.721089856023582
109,1,2,10,3,2,1.0,ind,92.89691170977562
110,8,1,15,2,4,0.8,ind,-198.0808049587465
111,7,2,14,1,14,-0.6,ind,-28.376270873656722
112,6,2,2,3,13,-0.4,ind,50.429069823128884
113,10,3,2,1,6,-0.6,ind,-501.57475633158674
114,1,2,14,3,14,0.6000000000000001,ind,-69.20336144276575
115,11,2,5,3,13,1.0,ind,141.29540233340254
116,7,1,1,3,12,0.3999999999999999,ind,149.48866002786576
117,10,2,3,1,5,-0.1999999999999999,ind,29.200508506474534
118,10,1,8,3,5,0.6000000000000001,ind,245.05984664900734
119,8,2,15,1,12,-0.8,ind,-28.8975465289991
120,12,3,5,2,15,-0.4,ind,-53.01818673759567
121,4,2,3,1,9,-0.4,ind,-110.05234256863855
122,5,3,11,1,15,-1.0,ind,-197.1877624095871
123,4,3,2,2,5,-0.6,ind,261.0092373709772
124,1,2,4,3,14,1.0,ind,-113.1232296020055
125,7,2,10,3,3,0.0,ind,-11.02544238621931
126,2,3,2,2,3,0.6000000000000001,ind,-103.20342300695029
127,12,2,7,3,5,0.3999999999999999,ind,121.01247441403893
128,12,3,8,1,4,-1.0,ind,-159.44632243827323
129,5,2,12,1,7,-1.0,ind,-398.37111726868784
130,12,3,2,2,10,-0.6,ind,-263.4865932897899
131,9,3,8,2,8,-0.6,ind,309.03117923029663
132,11,2,14,3,14,0.8,ind,-11.86264827532591
133,7,3,12,1,7,-1.0,ind,-360.1331632240963
134,3,2,4,1,2,-0.1999999999999999,ind,-175.81105368889052
135,3,1,11,2,3,1.0,ind,-114.12132872697612
136,3,1,15,3,1,0.3999999999999999,ind,155.86122948323646
137,8,1,5,2,9,0.6000000000000001,ind,95.06548262428305
138,7,3,1,2,14,0.3999999999999999,ind,-131.09701896735237
139,12,1,10,2,1,-0.1999999999999999,ind,-219.4789027834929
140,1,2,4,1,11,0.3999999999999999,ind,-31.649514026868246
141,4,2,4,1,4,-0.4,ind,-200.27968922932223
142,10,1,8,2,13,0.6000000000000001,ind,334.9688203357739
143,2,3,11,1,3,0.1999999999999999,ind,40.021018465205316
144,11,2,10,3,14,0.6000000000000001,ind,-21.400126817155297
145,8,2,9,1,1,-0.6,ind,-130.15963621215633
146,3,1,4,3,3,0.6000000000000001,ind,-70.08768122763513
147,6,2,5,1,12,0.0,ind,0.5288279904204956
