,user,day_0,rep_0,day_1,rep_1,m,dataset,DTW
105,5,2,12,1,5,-1.0,ind,-1590.519047348971
106,2,1,13,2,7,0.1999999999999999,ind,922.6991740175145
107,2,1,8,2,10,0.0,ind,406.5706558125448
108,3,1,10,3,6,1.0,ind,1335.3551137002141
109,1,2,10,3,2,1.0,ind,934.0380079854649
110,8,1,15,2,4,0.8,ind,592.1829182229858
111,7,2,14,1,14,-0.6,ind,75.47942759871694
112,6,2,2,3,13,-0.4,ind,120.05490283295785
113,10,3,2,1,6,-0.6,ind,-2212.2800789617595
114,1,2,14,3,14,0.6000000000000001,ind,375.3939638155489
115,11,2,5,3,13,1.0,ind,1318.9688653667208
116,7,1,1,3,12,0.3999999999999999,ind,-497.81042677332516
117,10,2,3,1,5,-0.1999999999999999,ind,485.42088991068977
118,10,1,8,3,5,0.6000000000000001,ind,1708.8402787699624
119,8,2,15,1,12,-0.8,ind,-568.0215622807864
120,12,3,5,2,15,-0.4,ind,-289.01753327553433
121,4,2,3,1,9,-0.4,ind,-1867.3590194789867
122,5,3,11,1,15,-1.0,ind,-1877.0296041097072
123,4,3,2,2,5,-0.6,ind,789.758681452503
124,1,2,4,3,14,1.0,ind,934.5010301986058
125,7,2,10,3,3,0.0,ind,426.15473308757373
126,2,3,2,2,3,0.6000000000000001,ind,110.19318637050219
127,12,2,7,3,5,0.3999999999999999,ind,490.2518036491738
128,12,3,8,1,4,-1.0,ind,-621.1571285377286
129,5,2,12,1,7,-1.0,ind,-1078.689235335627
130,12,3,2,2,10,-0.6,ind,-850.508694291646
131,9,3,8,2,8,-0.6,ind,462.70070105511513
132,11,2,14,3,14,0.8,ind,832.6729039985548
133,7,3,12,1,7,-1.0,ind,-954.9601667888528
134,3,2,4,1,2,-0.1999999999999999,ind,-1628.6562457936907
135,3,1,11,2,3,1.0,ind,-491.5078329961716
136,3,1,15,3,1,0.3999999999999999,ind,1820.1763605475253
137,8,1,5,2,9,0.6000000000000001,ind,1290.4247392923317
138,7,3,1,2,14,0.3999999999999999,ind,-955.2905791361782
139,12,1,10,2,1,-0.1999999999999999,ind,-395.8795277915033
140,1,2,4,1,11,0.3999999999999999,ind,-166.6179517754572
141,4,2,4,1,4,-0.4,ind,-1539.2460699128324
142,10,1,8,2,13,0.6000000000000001,ind,1823.985602023833
143,2,3,11,1,3,0.1999999999999999,ind,-1118.390079931106
144,11,2,10,3,14,0.6000000000000001,ind,255.66536460687348
145,8,2,9,1,1,-0.6,ind,-1419.5120752713447
146,3,1,4,3,3,0.6000000000000001,ind,-106.80611048338596
147,6,2,5,1,12,0.0,ind,-2.777122180003971
148,6,3,9,1,6,-0.4,ind,111.29098217758929
149,12,2,6,3,12,0.3999999999999999,ind,-87.80731526200998
150,6,1,4,3,3,0.3999999999999999,ind,1483.5798236736046
151,1,2,2,3,11,0.3999999999999999,ind,360.7792188905878
152,9,3,6,2,1,0.3999999999999999,ind,-1126.859152259619
153,5,3,8,2,1,-0.6,ind,-1285.2392343798956
154,7,1,11,2,6,0.6000000000000001,ind,2172.261482582023
155,7,2,1,1,11,0.3999999999999999,ind,-1720.0019454404164
156,2,2,12,3,11,-0.6,ind,957.6356417143043
157,4,2,3,1,4,-0.1999999999999999,ind,-1643.1838664132229
158,1,2,10,1,3,-0.4,ind,-1298.8907938193088
159,8,1,13,3,8,0.6000000000000001,ind,483.73134467572163
160,7,1,5,2,2,0.6000000000000001,ind,2584.812157441602
161,4,3,8,2,6,0.3999999999999999,ind,430.6180468096709
162,5,2,7,3,3,0.3999999999999999,ind,1891.0728357403486
