,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856577,0.6857918678485014,1e-05,0.14931893945192076,0.11485896943763912,1e-05,1e-05,0.5966854214697217,1.5150475730309425,0.5583772802171287,1.229231306584514,0.9469714198903276,0.330736846331781,1e-05,1e-05,0.93450596151662,0.04081391044051108,0.5242364084153264,0.2894474546675914,0.3796907752605285,0.45950432660881413,1.589135215310746,3.8517753709275735,2.8805512821932795,1.954952210354776,2.165598120580118,1.7325361473285252,1.1355950730924373,1e-05,0.8643585199463447,0.046145216409238576,0.34526948773226435
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568214996,0.6202728078207923,0.20738122990292468,0.43482634130991277,0.3444264540866326,0.07179164702989355,0.6375229186664684,1e-05,0.7515786603707507,0.8604228017524584,0.5428048512725865,0.8863417289374684,0.7616320893552013,1.4394439396969119,1.284957379228866,1.6918176223500265,1.0931490312164034,0.9926393409351328,1.3848031940933967,1.1853967182089842,1e-05,1.2352738869221402,2.2398190719788746,1.7837562248025227,2.632267404808064,1.075074588552843,0.3304005974473796,0.260924786401467,0.90130621615674,1e-05,0.3184604141048046,0.07259903162344816
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894086,0.6689214134968128,1e-05,0.0007336058203163409,0.16169166197344587,1e-05,1e-05,1.007877335354439,1.8099704151650111,0.6441213413554889,1.447157808902227,1.6040705334360208,0.5701237558603036,0.14829284609159177,0.843819633997197,1.0530526915451004,0.9818727136428832,0.9738274319155596,0.489852760745048,0.16859020014027754,0.46790433815360133,2.805004061393233,3.265933422750676,0.8870138708862183,1.8727326264116542,1.413275104767658,0.7008712449838659,1.232651930517576,1.0296007175542683,0.7064289660351546,0.0134115387821937,1e-05
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313983,0.6343858658301095,1e-05,0.4698299093245797,0.29169085063995176,0.07835648218648483,0.7245385881876739,1e-05,0.5755098729240837,0.8166921139155212,0.6058203992454764,0.836791595911619,0.9054990729672783,1.0531593542516937,0.9346647954935755,1.691725814559385,0.6840510923480312,1.1672478038584173,1.4281844568442086,1.2119332462483385,1e-05,0.601876132211451,2.566318072958431,2.640459261366001,2.534662241673194,1.4663418069636296,0.40098229549605807,0.21936256029077966,1e-05,1e-05,0.32064629883966883,0.872395528275606
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183233,0.6587726792516886,1e-05,0.06756610083306086,0.12295908906564246,1e-05,0.5230719859565427,1e-05,0.7383333686708705,0.726068258044314,0.5679334794546529,0.9729622465825627,0.7002486820419473,1.9558562472942866,1.668425853950856,2.0765819960288825,1.246079143889363,0.9361654223350828,0.8754959594718335,1.2168690035407832,1e-05,0.5045813097987981,1.910201508667568,2.2198912266386484,3.51167667477831,1.1779208982850762,1e-05,0.011554421440015283,1.2122490824740795,1e-05,0.07225676209888865,1e-05
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.629435640007222,0.6602534328380923,1e-05,0.3541286458861664,0.18257679081138795,1e-05,0.07490582536798979,0.034960291640700025,1.239641121309175,0.7076918389853752,0.9569228350720351,1.1423588896729473,0.6000766965963763,1e-05,1e-05,0.9320861771884457,0.2414261130995582,0.8054930862571135,1.1745769664139105,0.4878777042135972,1e-05,2.1239280373724108,4.131123545347769,2.4055181623676947,1.6621378659850974,1.8570577666910593,1.3498071156233034,0.8211031815069403,1e-05,0.6074096659295435,0.20426275097581792,0.5602293141392782
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665154,0.705620991019943,1e-05,0.4888895223589393,0.39590481641634034,1e-05,1e-05,0.5588240647572926,1.5274498823093043,0.7062751003037626,0.847075790071952,1.9662188448939264,1.5214371907350566,1.3718981073076875,1.0690727673345133,1.6508153768779923,0.6388209620421288,0.5561644133284541,0.09776560796137324,0.27309352365952716,1e-05,1e-05,3.050406559356532,0.9677827980168577,3.1078120485979404,1.8457679497140025,0.4097498440502628,1.072061467848027,0.4662724761886958,0.5029776686125327,0.25753311918928695,0.5858917549181515
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220032,0.5858399559217912,0.22345852729449672,0.1245357577516018,0.03210800187467805,1e-05,0.7196366643809838,0.15234281634001334,0.7008018050105422,0.6005491211577301,0.5730436153209955,1e-05,1e-05,1e-05,0.5659443179382053,1.420815442507217,0.8661622458406102,0.9656721107617472,1.7438074469918863,1.3418960829684772,1e-05,2.3620175979466995,2.849630352256095,3.3953773510747554,1.750831756662652,1.4963377169415613,0.9694464789119254,0.020025684140171363,0.5338927961785963,1e-05,0.007629591678052328,0.057414126852718406
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.6252912621782099,0.6761891591493616,0.45701062831877065,0.5824582286689549,0.11540599416069325,1e-05,0.5062655852726976,1e-05,0.7466265726449105,0.24573606085718452,0.6474226907379022,1.2545237432577188,1.0160183112742212,0.15870759949161117,0.27099898326968574,1.5488255434582816,0.5724432388625038,1.0211733195586938,1.2761932691477595,1.0857115039822183,1e-05,1.6415381452454074,4.001386167847925,2.0914502569339883,1.8065607983509713,1.2664762353900132,0.7026960211490672,0.9724875499647669,0.047360811776152145,0.4395163786185235,0.28520070178041834,0.27957359130213577
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042701,0.6659293446506654,1e-05,1e-05,0.2800746743020118,1e-05,0.16339723603978595,1.0660199339962773,1.1328113831839162,1.3542774585074497,1.0392234337958792,0.8685016219664647,0.2851081970022014,1.7032637811560059,1.6076974471975702,1.3090114757455409,1.0771761162685574,1.522835780447599,0.8393128649067048,0.5934738477232465,0.6091570530316173,1.1772361967812592,1.5614856970660156,1.7926765058651017,2.842690763981563,1.5618372962147142,0.3597214388001333,0.31450760625981594,0.520554103472438,0.05284113106986288,0.13254377647327104,0.33608515910555986
0,10,[0 1 2 3 6 7],[ 4  5  8  9 10 11],0.7031896677008959,0.7348329981110258,1e-05,1e-05,1e-05,1e-05,0.2504690708517979,0.8039301378882489,1.4252896747390291,0.9585123573917131,1.2977152108318946,0.9495455946612807,0.5138105834382279,0.38014728957264077,0.7732738841698898,1.8582018356477847,0.8583260485372907,1.642843760649447,1.100354201665646,0.4458347587801684,1e-05,1.0816788013419838,2.4616321258199387,3.036337302415529,3.144721000162664,2.287048259524574,1.158838518232308,0.40072299438649545,1e-05,1e-05,1e-05,1.2491211070834534
0,11,[ 4  5  8  9 10 11],[0 1 2 3 6 7],0.49775555213998857,0.5726373642209734,0.9608452258337982,0.8634582703714889,0.7035237685221765,0.294237899320052,0.520920519850193,1e-05,0.721844215575389,0.5465236631677554,0.5367258047775474,1.2355734823228088,1.008300203893314,1.074228813405615,1.1140905260855347,1.1663260862326132,0.756575049849131,0.7873423843845591,1.2293774930542696,1.1631729398935795,1e-05,1.4509782300868452,3.211869080004835,1.3638362219867717,1.9925370494074006,0.8715804326979393,0.09384796837656856,0.6345717032937805,0.9820613248408572,0.9327073721890007,0.25461109437405083,1e-05
0,12,[ 1  3  5  8  9 10],[ 0  2  4  6  7 11],0.6571212406446547,0.7155749111770279,0.5202734796470486,0.5994905921932463,0.09453831008898772,1e-05,0.7937111587236991,1e-05,0.49864709572501964,0.1052038599528588,0.5201365366104389,1.266377035549704,1.4034482336389564,0.3453209442424786,0.4648541577911325,1.7922137394879967,0.47282687282443314,1.192990017969164,1.6004344772718209,1.1525309418949512,1e-05,1.7104189585034302,3.9993733139975958,2.164691415139016,1.823338314732887,1.0906091448533288,0.6336639351752851,0.5914011491849329,0.3971365127129072,0.5238366572524245,0.5225238951216643,1e-05
0,13,[ 0  2  4  6  7 11],[ 1  3  5  8  9 10],0.5656689606076367,0.6255482124902957,1e-05,0.09291808919339023,0.3789812744841832,1e-05,0.08709393083245204,1.0057165696528199,1.2311078444212997,1.2325411796561416,1.1394212296331072,1.1271932107128901,0.2871678096465281,1.4108225893240114,1.417800960511631,1.1645612131429748,1.11468558400131,1.2723742191738925,0.85986305713679,0.38619573490651926,0.40709303483311615,1.1883135700949226,1.8921496499931474,1.8962386605409383,2.4268494029245167,1.539357541407602,0.3822830647841528,0.5733470865608056,0.051435566275358724,0.16354222257680623,0.04446908100718744,0.7894866686375474
0,14,[ 4  6  7  8  9 11],[ 0  1  2  3  5 10],0.5555869759020675,0.6632067293296829,1e-05,0.23583217594312328,0.6583931368899801,1e-05,1e-05,0.26077356252153017,1.0060898739240385,0.7192908914530519,0.992954717564212,1.2566010058628279,0.8592213056604249,1.248772191097334,0.8691289632022077,1.197420596915227,0.46005911212090855,0.7381597638290689,0.501272166283858,0.7523201982104346,0.3420245014214065,1.0997914914665265,3.3982255991802433,1.5857829154512286,2.6645522334116354,1.3750426682525179,0.712011945542383,0.9740933125413491,0.3511165645770709,1.1307626985567008,1e-05,0.39238796163775524
0,15,[ 0  1  2  3  5 10],[ 4  6  7  8  9 11],0.6585419820786768,0.7108960172042392,1e-05,0.20501089540220974,1e-05,1e-05,0.8532997588889787,0.054199236685043395,1.048200761894283,0.7743225711881365,0.9122021535881,0.9760439617365095,0.45405842842639194,0.310933641124182,1.0104859446218348,1.8506029127657204,0.9865712738297008,1.7435968198246683,1.7071814574802657,0.7648273672725237,1e-05,1.5974354998942046,2.7819171889839343,2.7938358133746077,2.3630207504657927,1.666403089434816,0.721108742447567,0.2829251627458446,0.1341545743346299,1e-05,0.5419587764036697,1e-05
