,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1,w2,w3,w4
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856575,0.6840262515802792,1e-05,0.30743502752882007,0.14619299134270514,2.7396620929865425,0.3340881449683963
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568215,0.5563319751587754,0.9805270057302277,1.0055522529718306,1.0054268441212764,1.0328993280477343,0.9755454281492291
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894084,0.616069545972808,0.9838899825393683,1.0014396949440945,0.9992900483332668,1.024132289693865,0.9912182304491738
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313988,0.6840612070276888,1e-05,0.668962242747662,0.8477348346077913,2.436829555818228,1e-05
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183233,0.6019874829718425,0.9833062947519594,1.0053646173419637,1.0082026249445541,1.0234690547473742,0.9796188390785412
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.629435640007222,0.6669373035890125,1e-05,0.5296448080367746,0.32521127263710753,2.4349077201014113,0.2924527380134345
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665156,0.7147823150370436,1e-05,1.5760704616738548,1e-05,2.2478130170194066,1e-05
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220033,0.5796273904063247,0.9790126616601692,0.9893167944041693,1.0071772047558492,1.0454953329949765,0.9789513769209414
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.6252912621782099,0.6288835141554455,0.9859028709908155,0.9968730050180495,0.996881034692919,1.0279498769757167,0.9923667509258975
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042703,0.613283592308769,0.9762906145582526,1.0070944200474274,1.0069129547882192,1.0288827607158624,0.9807798195808041
0,10,[0 1 2 3 6 7],[ 4  5  8  9 10 11],0.703189667700896,0.7312478357550094,1e-05,0.7374980606958162,0.8220731328036546,2.8595393647304728,1e-05
0,11,[ 4  5  8  9 10 11],[0 1 2 3 6 7],0.49775555213998884,0.5016704709419626,0.9899609987765992,1.000813363516955,0.9981415226643076,1.0235311821330546,0.9875149983951093
0,12,[ 1  3  5  8  9 10],[ 0  2  4  6  7 11],0.6571212406446548,0.6598134038563349,0.9899550210911137,0.9985452685801744,1.0008481889357814,1.0204055320290353,0.99022443431279
0,13,[ 0  2  4  6  7 11],[ 1  3  5  8  9 10],0.5656689606076368,0.5694143288249204,0.9741556134168179,1.0066183261526749,1.0037118303135024,1.0338154021205277,0.9816572853179577
0,14,[ 4  6  7  8  9 11],[ 0  1  2  3  5 10],0.5555869759020676,0.5594935227264186,0.9841119757427437,1.0022049768964862,0.9963387751550077,1.0246410063070883,0.9926708220413788
0,15,[ 0  1  2  3  5 10],[ 4  6  7  8  9 11],0.6585419820786769,0.7027353800195503,1e-05,0.5696810968781271,0.977819977460955,2.5021269214126165,1e-05
