,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856577,0.6775457551480943,1e-05,0.1705008980703342,0.1471602579883407,0.2829461039716264,0.13227374577351975,1e-05,1e-05,1e-05,0.5989295889797271,0.8178089513136855,1.3401942959739632,1.1058180594285434,0.6816257347227763,0.5787385984536388,1.4691470445837809,0.5198016322902794,1.3560426459322075,1.1792976762695317,1e-05,1e-05,1e-05,0.5891622850036453,0.988404746883715,0.8289939370714635,1e-05,0.07797719064138564,0.880132613984601,0.17413119128260368,0.5090292555598699,0.17608102335013442,1e-05,1.3538041272589107,0.0657621542942402,2.8899713535247997,3.690028113486338,3.0496206907109533,3.1555263977321157,0.40408891675515546,3.2898226587975152,1.9390210675936603,2.5926409564125446,1.6984243164008752,1.0695684136162704,1.3247472784567054,0.16360844168221012,1e-05,0.48801952556698247,1.2235143075161352,0.11914799728015069,1e-05
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568214999,0.6138487241170173,0.26873637822881696,0.27316666474351997,0.4916996154609686,0.4466688952517747,0.3394149200290856,0.09301286872062858,0.29215461499128514,0.611706175975787,0.7593726887642288,1e-05,0.8244744533400457,0.7101210055103206,0.8679139941796927,0.8893669108527362,0.46465945696234245,0.23468147184735588,1.5180902391264965,0.601344788450299,1.4161983734824808,1.1734582929259472,1.317157802302892,1.3911706723643265,1.3946859544691121,1.7830014289046692,0.9599513645373703,1.6403420912306719,0.529032464712616,1.3657782283670163,1.3285126885086518,0.5959236960938936,1e-05,1e-05,1.2541463676162272,1.1716737121195597,1.9862258966904616,2.1960474703541983,1.2913661807657475,2.88965913753216,2.6562637892791354,1.3336267917125186,1.0658438371966499,1.0124923092488967,1e-05,0.03784569795641879,1.1192307817715943,0.3908161691029405,0.45974533437658793,1e-05,0.3693972582872046,1e-05
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894086,0.6743757685483134,1e-05,1e-05,0.04301889011743765,0.2623530134951913,0.19599556918361366,1e-05,1e-05,1e-05,0.8175757277384545,1.1060937916331894,1.5877836976815558,1.4845957351391577,0.7007455868334285,0.9687428865243222,1.3907745260510234,0.7385015430662799,2.2032047691897487,1.356017185925968,1e-05,1e-05,0.2218421841116004,1.2243595641248188,1.3626197772945698,0.7603336345924603,0.7340127989845355,1.1281272173676276,1.0705396955152282,0.3094710809285537,0.6367483405421888,1e-05,0.4157553279919216,0.7827526533385225,1.4668647182089398,3.4730807315711947,3.192857869025026,0.8734556916290397,1.2722001604176214,1.3196994061501186,2.9873055464216627,0.783641318164574,2.1686428469691523,2.270880159116184,1e-05,1.2973615894940644,1.2857951334087292,0.6696572464078357,0.659743228860589,0.6339853058879905,1e-05,1e-05
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313985,0.6340800274987326,1e-05,0.5300477762892036,0.4388665874607348,0.36891284607134456,0.20402294894149814,0.10961597135258339,0.19407288557935953,0.6647386495790273,0.6773274006714549,1e-05,0.5499966492757578,0.49134336983171073,0.8016342419018513,0.7261309900918353,0.6927544502622148,0.3936439209913606,1.1467142329348445,0.6928465484898584,1.315317041039232,0.9359270253883512,0.7109926244954013,1.1459035304911989,1.2241972143214055,2.055718475285642,0.47943375782908626,1.4883212305981854,0.6425767471711769,1.4282336274427372,1.4457663201191688,0.8988348051517339,1e-05,1e-05,0.299880526364788,0.8158508838819324,2.3572900801541135,3.671899085292291,2.08243422146709,2.255516025402513,2.897522537292036,2.024253461765201,1.275003104127319,0.2774424091142898,0.18903502534435962,0.14070028690002312,1e-05,1e-05,0.2586777833212446,1e-05,0.45032576487644754,0.5507877256878249
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183234,0.6553414519152552,1e-05,1e-05,0.2925657443402492,0.35969938443980726,0.2816556483113672,0.01871951442890918,0.41458441149552233,0.46496677138675857,1.0084039736259418,1e-05,0.874007904095628,0.7065210974234144,0.7755187185351335,0.9377821939142947,0.5566080278250802,0.26441279226505365,1.6023262626060493,0.4610656445386064,1.7219869427306453,1.4936702404938231,1.4978040593747621,1.778925463090348,1.5172358781519901,2.0420215179465617,1.1401356288872115,1.70202598952061,0.4708670464939491,0.9688056863387295,0.921964951479559,0.46427149299016446,0.36272306343107014,1e-05,0.6003535871254797,0.8660352931221649,1.7946531471306666,1.7270092354610407,1.54961871296953,3.4963217227684393,2.9720063531849776,1.3053752188235028,1.3516743190377078,1.0168673015656382,1e-05,0.15105006739349425,1.4693937190812998,0.5120820554585098,0.6201741460405256,1e-05,0.209079069465413,1e-05
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.6294356400072221,0.6328744721710566,1e-05,0.49880656809474616,0.3598440652450293,0.3650825894423782,0.1935259065188858,1e-05,1e-05,0.022962109028804523,0.37914985957004393,0.08217038837673846,1.0690261616344578,1.0022537058941676,0.8059221788483271,0.5689377782688184,1.2082707706694182,0.7549830380286685,1.4422063591321708,1.4014929080141152,1e-05,1e-05,1e-05,0.3920941027024601,0.9596923895284076,0.8361723533499118,1e-05,0.5547315804015387,1.02582754020003,0.982931595392011,1.2714292661153286,0.3205989277655964,1e-05,0.7462191383195351,0.9419556938865837,2.9050955678343655,3.6481596580601927,3.7951003034961586,2.5072806074969987,0.24514513172006835,2.9257767381400783,1.950613422368227,1.8624777528087224,1.3409417031132087,0.9680879632642283,0.9575967374040639,1e-05,1e-05,0.257284431599349,1.0610257750851781,0.334383734114524,0.021159850347171827
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665157,0.6958017458506934,1e-05,0.3384863821441153,0.5659880760103991,0.5330895050964165,0.4530284107811565,0.4128157681179673,1e-05,1e-05,0.6624997111749714,0.3258729392219354,1.4354229277701491,1.1715253433371378,0.5442828787425149,1.2275048161422366,0.7835666299196337,1.180434928791155,2.094029113888224,1.7167840125382705,1.1905385099181984,1.0708383556021142,0.9611490495763853,1.1823816510782765,1.170627804016477,1.8010935661467744,0.39357721967489023,0.8503723325808062,0.576875729899706,0.17451733718245943,0.2653234793783001,1e-05,1e-05,0.2509434481670574,1e-05,1.007311950165482,3.057704933604175,0.26740714316365066,1.7309696111213342,2.2998162245139544,3.191612669267359,2.1105438559860064,1.5457390616204387,1.9066327092313102,1e-05,1.2398339328231054,0.9012505451746426,0.32026853821332596,0.6237959093786715,0.3104088414390044,0.6306508530082106,0.09684940610876147
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220035,0.5940836728081522,0.2932428733965354,0.13424101692017792,0.09213765924663148,0.18172260849754984,1e-05,1e-05,1e-05,0.6204129691151115,0.6960910785806185,1e-05,0.7396679592950945,0.5217441597554557,0.9149917574838412,0.21207735942177608,0.7316087547614565,1e-05,0.9538050577061247,0.10754374916833392,0.017744799317824467,1e-05,1e-05,0.9914882803569294,1.4629277940300884,1.2829042579648926,0.8452097335001005,1.2860156941277143,0.624178721521985,1.5802410541478116,1.6864129440455538,0.9461598217557752,0.15242804218944578,1e-05,1.704162452904783,2.707667032210471,2.28774831361386,4.754725666871158,2.0141507139972528,1.2866089727294046,3.055159624677191,1.3229625123658626,2.1351625138985635,0.9525062025376542,0.6990860579373817,1e-05,0.8344021385843717,1e-05,0.13182496953586414,1e-05,1e-05,1e-05
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.6252912621782099,0.655556505920087,0.4889962736158975,0.5416338727307481,0.6929453526611915,0.2989686864028589,0.13978711825854256,0.049235065722791904,1e-05,0.4614515942109589,0.7575516001049011,1e-05,0.7224713233243181,0.630962546415817,0.1618424449095905,0.39186192848858103,0.9595135292731555,0.9293039853831306,1.3074537191253377,1.3681901087794754,0.561073793413566,0.14759569785316862,1e-05,0.7655753990111661,1.1547432992832374,1.7341082506511338,0.5174410007729281,1.4965007090647517,0.29072963001783936,1.0589999783060056,1.352492138076806,0.7141388156667685,1e-05,0.10284216281338893,0.9043162424286147,2.0367270578538172,3.6232857329130033,3.0209982449946513,2.644882712795076,0.2682200763541065,3.2235455371240183,1.6855841703918408,1.0217933552395155,0.641042670722076,0.7185582681750509,1.1432793259371854,0.5438164263615329,1e-05,1e-05,1.0910540827460207,0.5451534185876957,1e-05
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042703,0.6593752321126303,1e-05,1e-05,1e-05,0.3623322691131367,0.2706395473195089,1e-05,1e-05,1e-05,0.6658195737037012,1.1101333838688403,1.0995737267169816,0.9204268691697095,1.4021332646595417,1.2647104306491925,0.8900831791105926,0.10845884754033508,1.5097171642360816,0.08979652024937979,0.9387315800550871,1.331180477179033,1.4875865393996335,1.6325913944794341,1.2650171395152638,1.1305081319833572,0.684407382571366,1.5399038677947698,1.509425145268135,0.911605333233569,0.8098878467927302,0.10199360937300217,0.4555123230067856,0.8511654453157881,0.867285126403823,1.641821008705177,1.5622164522908746,2.2012850822378174,0.666972395670004,3.23404060159007,2.3254022937699506,1.305274584517437,1.857382724631651,1.3316624174354945,1e-05,0.3488204700269196,0.5478796468821432,0.173614006552125,1.065275816258024,1e-05,0.030843496984962915,0.15060269688553474
0,10,[0 1 2 3 6 7],[ 4  5  8  9 10 11],0.7031896677008959,0.7262794099724414,1e-05,1e-05,1e-05,0.04666857074921632,1e-05,1e-05,1e-05,0.07889195558870804,0.8603355360284736,0.8701514274307866,1.046012012764958,1.306301830437911,1.1866643061702908,0.88489261065119,1.316507364943831,0.15658251604816947,1.8820035763706908,0.8553863679036784,0.47006157926609177,0.23962307888549594,0.10656465354099859,1.2641985773377744,1.624429205112628,1.8292044167339587,0.5029646854216836,1.447349889479596,1.701480943585445,1.231057661519118,1.0452563675590256,0.05618115108720284,1e-05,1e-05,1e-05,2.2627235216024637,2.30041163805068,2.985284115567977,2.1509432556064976,2.859092381095608,3.658037867148257,1.7418187219951857,3.2479824881074553,2.5703705687515903,1e-05,0.5664628338938196,1e-05,1e-05,0.1946823375024123,1e-05,1e-05,1.2204241995869165
0,11,[ 4  5  8  9 10 11],[0 1 2 3 6 7],0.49775555213998884,0.5574384495435292,0.9983581290473384,0.9345845168434369,0.9488158021531456,0.811369872460161,0.8192851432394734,0.7380667849937157,0.38637879938945496,0.6713118326348753,0.767678323704138,1e-05,0.9679159428611347,0.7186829539453905,0.5921417648150825,0.8584125969011289,0.7834222261873984,0.988848328973554,1.2131799662788603,1.0931911649794197,0.9808286420952562,1.002748039823902,1.1133406773013834,1.1330963033901122,0.9985595605295584,1.1689993129301124,0.8285655512208798,1.2957684463800871,0.46778746194614673,1.0422361466582528,1.2084376565846193,0.7997649054105335,0.1371331960022313,0.5551433264445165,1.3096525716762832,1.3363974580992957,2.4345000175313345,1.9879680342809822,1.6710587939422121,1.3427968412780107,2.13231428838926,1.4362657625585766,0.568943177539417,0.3004243260586903,0.657290766432465,0.8310192359121975,1.2483587501535884,0.8260239662960241,0.7685629280202194,0.9458600418256834,0.6408735789013793,1e-05
0,12,[ 1  3  5  8  9 10],[ 0  2  4  6  7 11],0.6571212406446547,0.6971012806659208,0.705714400000163,0.7020366419846561,0.8034979661046435,0.5073903270328747,0.39179932167093506,0.2964520768024792,0.319831116339712,0.8622941716792324,0.9704308816000382,1e-05,0.6971882811088718,0.6426472383215998,0.3109381775766328,0.49963379132373126,0.9789326439312717,1.1190217473153747,1.085030431843567,1.586772051590206,0.9460858579673391,0.5576308717147197,0.24454694462555038,0.9638593811370899,1.0931225158147322,1.8617038613327928,0.6191411174488534,1.4232500231479417,0.627819647663121,1.2996515288521446,1.5062029963776404,0.914567897759674,1e-05,0.8348272153169782,1.0528610123311877,1.7754813308549136,2.6030832386258997,2.6764977655819218,2.3878125056651403,0.5212401835437895,2.6849856588181993,1.4620940634361481,0.8470163715580169,0.7955940434875166,0.776951969926611,0.8443336596652914,0.5814722237602241,0.6244581591163842,0.34650497615361364,1.014158713459837,0.8915342801696161,1e-05
0,13,[ 0  2  4  6  7 11],[ 1  3  5  8  9 10],0.5656689606076368,0.6146891316731083,1e-05,1e-05,0.01674770156210298,0.43745920744897754,0.3391064677669143,0.10655566957808638,1e-05,1e-05,0.4989742078632967,1.1388418957961617,1.117959694693245,1.031976886412791,1.2719458534643142,1.2369803046870789,0.9881989604519561,0.43523180790440186,1.6961008068513164,0.16978630308044296,0.6079794417760316,1.241335976111017,1.3363615680038268,1.528775640420468,1.263736357126121,0.9647421457230065,0.775861086778065,1.4808911738533115,1.1988633469430332,0.8740472675823184,0.8227209906943358,1e-05,0.7076800247506032,0.39828952120782624,0.74236119304578,1.631524353851053,2.0721392181780844,2.2075546389401666,0.9306656712012422,2.8283272820804934,2.1191987637466423,1.2412494278399215,1.9277679531025942,1.1232513028949023,1e-05,0.6833873382643265,0.33623268975958803,1e-05,0.8060736845129834,1e-05,1e-05,0.45623743071253686
0,14,[ 4  6  7  8  9 11],[ 0  1  2  3  5 10],0.5555869759020678,0.6443034682138209,1e-05,0.38256243328027667,0.2637362278290419,0.6632796227523475,0.6963214463303534,0.44601391540800817,1e-05,1e-05,0.6402000079202663,1e-05,1.4401576079275438,0.5780296003369536,0.49449727631321305,1.1858468876832624,1.041496247565756,0.8754838901352443,1.3496098713931817,0.9382020847180841,0.9738451818562817,0.8990779127964713,1.3429213349231042,0.8708898974822739,0.9861438101055533,1.2272813713512365,0.44350696527942035,1.2816854480509383,0.19563629284819684,0.3160741576202219,0.8103540444219621,0.1897167185009278,1.0620439561890187,0.5584153009050362,0.4336292622571562,1.785197393362878,3.39037289156166,1.5381491669435263,1.9678593928844443,1.9850906339973318,2.7236427661556424,1.6783698413575174,1.115378274382806,0.6666097183210117,0.8191746548149115,1.046192257255184,1.1994042936969218,1e-05,0.9998843024666759,0.9392112621596355,1e-05,1e-05
0,15,[ 0  1  2  3  5 10],[ 4  6  7  8  9 11],0.6585419820786766,0.7045819245591376,1e-05,0.009638928103381184,0.3127635115398625,0.008573828798121463,1e-05,1e-05,0.013419068588579663,0.9340138493712448,0.7828107937179261,1e-05,0.5017314104114323,1.2216690886300734,1.0412682657014656,0.5052556907020206,1.019640955418195,0.3280047816287298,1.7395882505957085,0.8537730889794382,0.29870015907137865,0.3718840830682236,1e-05,1.6402146530925108,1.6015987856526515,1.8465500261783616,0.6958332452251902,1.640331735079218,1.635470502874825,1.823912767085054,1.4565629896674053,0.5145821115702971,1e-05,0.07572758122460072,0.9454079886809575,1.912152759094343,1.9603089131860905,3.631543538527838,1.9776628367348015,1.8270711906472092,3.332634981906765,1.4974721186920126,2.275986908219062,1.945113433447804,1e-05,0.4057684313032481,1e-05,0.11070639023443452,0.028550684686253158,1e-05,0.5715413337834844,1e-05
