,fold_id,train_ids,test_ids,cc_start,cc_end,w0,w1
0,0,[ 1  3  4  6  7 11],[ 0  2  5  8  9 10],0.6626203072856581,0.6629571773488004,0.9790811068098005,1.020903541691849
0,1,[ 0  2  5  8  9 10],[ 1  3  4  6  7 11],0.5518830568215002,0.5525665214071624,0.9957757081462668,1.0041967713258766
0,2,[ 1  2  4  5  7 11],[ 0  3  6  8  9 10],0.6130574007894092,0.6137026593616199,0.9861417119086366,1.013829277711626
0,3,[ 0  3  6  8  9 10],[ 1  2  4  5  7 11],0.6103254828313989,0.6112269220965771,0.990248691183996,1.0097365631416835
0,4,[ 0  2  5  8  9 11],[ 1  3  4  6  7 10],0.5985174869183235,0.5986211484086466,0.999234491705885,1.0007405725354348
0,5,[ 1  3  4  6  7 10],[ 0  2  5  8  9 11],0.6294356400072223,0.6294579655804137,0.9769498979179357,1.0230313828062125
0,6,[ 2  3  4  6  8 11],[ 0  1  5  7  9 10],0.6585346766665158,0.658905272569838,0.9971648976698487,1.002818936183008
0,7,[ 0  1  5  7  9 10],[ 2  3  4  6  8 11],0.5762377400220037,0.5766557169120432,0.973422151549826,1.0265518778544445
0,8,[ 1  3  4  8  9 10],[ 0  2  5  6  7 11],0.6252912621782102,0.6261610509783386,0.9855528240718923,1.0144284026099022
0,9,[ 0  2  5  6  7 11],[ 1  3  4  8  9 10],0.6099483370042703,0.6107766677253532,0.9893138476989561,1.010659501338135
0,10,[0 1 2 3 6 7],[ 4  5  8  9 10 11],0.7031896677008962,0.7035671152124812,0.9881083906989863,1.0118782578187884
0,11,[ 4  5  8  9 10 11],[0 1 2 3 6 7],0.49775555213998945,0.4984031657997427,0.9927853562030614,1.0071895497488215
0,12,[ 1  3  5  8  9 10],[ 0  2  4  6  7 11],0.6571212406446553,0.6576734130083539,0.9917272894369149,1.0082603134800305
0,13,[ 0  2  4  6  7 11],[ 1  3  5  8  9 10],0.5656689606076369,0.5664403934853134,0.9859456586786806,1.0140209442860988
0,14,[ 4  6  7  8  9 11],[ 0  1  2  3  5 10],0.5555869759020678,0.5563991834361195,0.9864455330529353,1.01352906645863
0,15,[ 0  1  2  3  5 10],[ 4  6  7  8  9 11],0.6585419820786772,0.6591324850361784,0.9909871727394862,1.0089974880956032
